s2id,longitude,latitude,label,sublabel,iso3,source
8fadbe01,-80.36864883328118,8.023402581494553,Boca Parita,Herrera,PAN,buffer
8fb24209,-80.35194428106844,7.331415486428466,Búcaro,Los Santos,PAN,buffer
8fad816b,-80.16239479631659,7.739052512720683,Búcaro,Los Santos,PAN,buffer
8fae1117,-81.05062491272128,7.920174750125267,Puerto Mutis,Veraguas,PAN,buffer
8e4df151,-78.19349107877542,7.5292806365878056,Puerto Piña,Darién,PAN,buffer
8fa576e5,-82.44006794397698,8.354439247966871,Puerto Pedregal,Chiriquí,PAN,buffer
8fa577a9,-82.42381217413993,8.370443692160368,Puerto Pedregal,Chiriquí,PAN,buffer
8facaa8b,-79.42256369492686,9.017279115559495,Puerto Juan Díaz,Panamá,PAN,buffer
8fad815d,-80.16797581669991,7.749909701518774,Búcaro,Los Santos,PAN,provided_points
8fad9015,-80.29623846703619,7.865647183713436,Búcaro,Los Santos,PAN,buffer
8faca5f1,-79.56877275796117,8.939777423149447,La Boca,Panamá,PAN,buffer
8fad9075,-80.2795195465483,7.870634347484545,Búcaro,Los Santos,PAN,buffer
8fadbdcf,-80.35194428106844,8.055344833272613,Boca Parita,Herrera,PAN,buffer
8fadbde1,-80.36308101863455,8.039437828139208,Boca Parita,Herrera,PAN,buffer
8fadc901,-80.50216515092168,8.242442437847446,Puerto Aguadulce,Coclé,PAN,buffer
8fae113d,-81.05614575727921,7.920293370750128,Puerto Mutis,Veraguas,PAN,buffer
8fafbcc5,-81.80877209042286,8.21169135125903,Puerto Remedios,Chiriquí,PAN,buffer
8fb2420f,-80.35194428106844,7.3260815007983755,Búcaro,Los Santos,PAN,buffer
8facbccf,-79.68108150169897,8.861293720733714,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8fadbc2b,-80.36308101863455,8.066389089760484,Boca Parita,Herrera,PAN,buffer
8fadbde7,-80.35751283451334,8.03930686053369,Boca Parita,Herrera,PAN,buffer
8fa576e3,-82.43464977719417,8.354335839906065,Puerto Pedregal,Chiriquí,PAN,buffer
8fadc855,-80.49660624881408,8.236904409035471,Puerto Aguadulce,Coclé,PAN,buffer
8fa50315,-82.8452145790513,8.269495622532169,Puerto Armuelles,Chiriquí,PAN,buffer
8fa57707,-82.42381217413993,8.365004987063996,Puerto Pedregal,Chiriquí,PAN,buffer
8faca331,-79.68108150169897,8.87761493134607,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8fa50305,-82.85598537490912,8.280560617307225,Puerto Armuelles,Chiriquí,PAN,buffer
8fa57703,-82.42923118720384,8.359670319584499,Puerto Pedregal,Chiriquí,PAN,buffer
